# Which OGKM tags actually ship a public NVIDIA .run installer.
#
# WHY THIS EXISTS: sweep_plan.py used to choose driver versions from the 216
# supported OGKM tags alone. Publishing an open-gpu-kernel-modules tag and
# publishing a downloadable driver are DIFFERENT THINGS -- 87 of the 216 tags
# have no .run at either public path. A plan built without this file sends
# boxes to install drivers that cannot be obtained, and every one of them
# burns a rental and returns `driver-install-failed`. Observed 2026-08-30:
# 10 of 24 planned versions (42%) were unobtainable.
#
# Probed by range-requesting one byte of each candidate URL, in this order:
#   https://us.download.nvidia.com/XFree86/Linux-x86_64/$v/NVIDIA-Linux-x86_64-$v.run
#   https://us.download.nvidia.com/tesla/$v/NVIDIA-Linux-x86_64-$v.run
# AVAILABLE means one returned 200/206 and the third column is that URL.
#
# NOTE 403 != ABSENT. A rented box saw HTTP 403 for URLs that return 206 from a
# normal network, i.e. NVIDIA's CDN rate-limits/blocks some hosts. That is what
# --driver-cache is for: fetch here, upload to the box. Do not re-probe from a
# rented box and do not let a 403 rewrite this file.
#
# Regenerate from a trusted network; it changes only when NVIDIA publishes or
# withdraws an installer.
#
# version	status	url
535.288.01	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/535.288.01/NVIDIA-Linux-x86_64-535.288.01.run
535.309.01	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/535.309.01/NVIDIA-Linux-x86_64-535.309.01.run
535.43.02	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/535.43.02/NVIDIA-Linux-x86_64-535.43.02.run
535.43.08	ABSENT	-
535.43.09	ABSENT	-
535.43.10	ABSENT	-
535.43.11	ABSENT	-
535.43.13	ABSENT	-
535.43.15	ABSENT	-
535.43.16	ABSENT	-
535.43.19	ABSENT	-
535.43.20	ABSENT	-
535.43.22	ABSENT	-
535.43.23	ABSENT	-
535.43.24	ABSENT	-
535.43.25	ABSENT	-
535.43.28	ABSENT	-
535.54.03	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/535.54.03/NVIDIA-Linux-x86_64-535.54.03.run
535.86.05	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/535.86.05/NVIDIA-Linux-x86_64-535.86.05.run
535.86.10	AVAILABLE	https://us.download.nvidia.com/tesla/535.86.10/NVIDIA-Linux-x86_64-535.86.10.run
535.98	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/535.98/NVIDIA-Linux-x86_64-535.98.run
545.23.06	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/545.23.06/NVIDIA-Linux-x86_64-545.23.06.run
545.23.08	ABSENT	-
545.29.02	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/545.29.02/NVIDIA-Linux-x86_64-545.29.02.run
545.29.03	ABSENT	-
545.29.06	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/545.29.06/NVIDIA-Linux-x86_64-545.29.06.run
550.100	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/550.100/NVIDIA-Linux-x86_64-550.100.run
550.107.02	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/550.107.02/NVIDIA-Linux-x86_64-550.107.02.run
550.120	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/550.120/NVIDIA-Linux-x86_64-550.120.run
550.127.05	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/550.127.05/NVIDIA-Linux-x86_64-550.127.05.run
550.127.08	AVAILABLE	https://us.download.nvidia.com/tesla/550.127.08/NVIDIA-Linux-x86_64-550.127.08.run
550.135	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/550.135/NVIDIA-Linux-x86_64-550.135.run
550.142	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/550.142/NVIDIA-Linux-x86_64-550.142.run
550.144.03	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/550.144.03/NVIDIA-Linux-x86_64-550.144.03.run
550.163.01	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/550.163.01/NVIDIA-Linux-x86_64-550.163.01.run
550.40.07	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/550.40.07/NVIDIA-Linux-x86_64-550.40.07.run
550.40.53	ABSENT	-
550.40.55	ABSENT	-
550.40.59	ABSENT	-
550.40.61	ABSENT	-
550.40.63	ABSENT	-
550.40.65	ABSENT	-
550.40.67	ABSENT	-
550.40.70	ABSENT	-
550.40.71	ABSENT	-
550.40.75	ABSENT	-
550.40.76	ABSENT	-
550.40.79	ABSENT	-
550.40.80	ABSENT	-
550.40.81	ABSENT	-
550.40.82	ABSENT	-
550.40.83	ABSENT	-
550.40.85	ABSENT	-
550.54.14	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/550.54.14/NVIDIA-Linux-x86_64-550.54.14.run
550.54.15	AVAILABLE	https://us.download.nvidia.com/tesla/550.54.15/NVIDIA-Linux-x86_64-550.54.15.run
550.67	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/550.67/NVIDIA-Linux-x86_64-550.67.run
550.76	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/550.76/NVIDIA-Linux-x86_64-550.76.run
550.78	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/550.78/NVIDIA-Linux-x86_64-550.78.run
550.90.07	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/550.90.07/NVIDIA-Linux-x86_64-550.90.07.run
550.90.12	AVAILABLE	https://us.download.nvidia.com/tesla/550.90.12/NVIDIA-Linux-x86_64-550.90.12.run
555.42.02	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/555.42.02/NVIDIA-Linux-x86_64-555.42.02.run
555.42.06	ABSENT	-
555.52.04	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/555.52.04/NVIDIA-Linux-x86_64-555.52.04.run
555.58	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/555.58/NVIDIA-Linux-x86_64-555.58.run
555.58.02	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/555.58.02/NVIDIA-Linux-x86_64-555.58.02.run
560.28.03	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/560.28.03/NVIDIA-Linux-x86_64-560.28.03.run
560.31.02	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/560.31.02/NVIDIA-Linux-x86_64-560.31.02.run
560.35.03	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/560.35.03/NVIDIA-Linux-x86_64-560.35.03.run
565.57.01	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/565.57.01/NVIDIA-Linux-x86_64-565.57.01.run
565.77	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/565.77/NVIDIA-Linux-x86_64-565.77.run
570.123.01	ABSENT	-
570.123.06	ABSENT	-
570.123.07	ABSENT	-
570.123.10	ABSENT	-
570.123.11	ABSENT	-
570.123.14	ABSENT	-
570.123.18	ABSENT	-
